
 displacements (vx,vy,vz) for set LEFT_LOWER_DATUM and time  0.1000000E+01
        21   5 -4.849138E+00 -6.143094E+01 -5.963324E+00  8.938134E-01 -8.481356E-01 -1.130239E+00
        21   6  1.570340E+00 -4.370245E+01 -2.293552E+00  1.484245E+00 -8.828507E-01 -8.199361E-01
        21   7 -1.326320E+00 -5.908587E+01 -1.669228E+00  6.533382E+00 -7.281956E-01 -8.708675E-01
        21   8  4.715003E+00 -4.173553E+01  1.118183E+00  7.123813E+00 -7.480665E-01 -6.260461E-01
        22   1 -4.119210E+00 -3.562917E+01 -4.227405E+00  6.321395E+00  4.688865E-01 -1.157133E+00
        22   2  2.442582E+00 -1.766569E+01 -3.182464E-01  6.594622E+00  4.534692E-01 -6.277774E-01
        22   3 -2.354143E+00 -3.440517E+01 -1.912475E+00  1.196604E+01  8.595157E-01 -1.010519E+00
        22   4  3.841860E+00 -1.680748E+01  1.143178E+00  1.223927E+01  8.482199E-01 -5.482273E-01
        22   5 -3.959105E+00 -3.511835E+01 -3.958784E+00  6.320583E+00 -8.697519E-01 -6.032603E-01
        22   6  2.484456E+00 -1.740758E+01 -1.910155E-01  6.597943E+00 -8.849736E-01 -3.215942E-01
        22   7 -2.178632E+00 -3.389113E+01 -1.648528E+00  1.193931E+01 -7.211038E-01 -4.577077E-01
        22   8  3.901787E+00 -1.654350E+01  1.271911E+00  1.221666E+01 -7.322337E-01 -2.426198E-01
        23   1 -3.229716E+00 -8.994867E+00 -1.943687E+00  8.205961E+00  4.500983E-01 -2.457526E-01
        23   2  3.346209E+00  9.002802E+00  1.978395E+00  8.194581E+00  4.501364E-01  2.686035E-01
        23   3 -3.083670E+00 -8.826287E+00 -1.527798E+00  1.386053E+01  8.453947E-01 -2.153738E-01
        23   4  3.128778E+00  8.807906E+00  1.546171E+00  1.384915E+01  8.455508E-01  2.317074E-01
        23   5 -3.173200E+00 -8.878587E+00 -1.876582E+00  8.196380E+00 -8.888281E-01 -1.203285E-01
        23   6  3.284286E+00  8.865737E+00  1.904048E+00  8.185119E+00 -8.887843E-01  1.478737E-01
        23   7 -3.028371E+00 -8.711295E+00 -1.463771E+00  1.382489E+01 -7.340200E-01 -9.016956E-02
        23   8  3.068269E+00  8.672183E+00  1.474884E+00  1.381363E+01 -7.338591E-01  1.112445E-01
        24   1 -2.368640E+00  1.766777E+01  3.386761E-01  6.562382E+00  4.501995E-01  6.521023E-01
        24   2  4.211177E+00  3.567280E+01  4.266373E+00  6.272856E+00  4.664614E-01  1.185484E+00
        24   3 -3.817722E+00  1.679203E+01 -1.131368E+00  1.221867E+01  8.470452E-01  5.657200E-01
        24   4  2.394108E+00  3.442907E+01  1.937691E+00  1.192915E+01  8.591531E-01  1.031178E+00
        24   5 -2.414815E+00  1.738842E+01  2.043345E-01  6.567445E+00 -8.880691E-01  3.500603E-01
        24   6  4.045374E+00  3.513762E+01  3.989104E+00  6.273753E+00 -8.720045E-01  6.342423E-01
        24   7 -3.882523E+00  1.650655E+01 -1.267549E+00  1.219704E+01 -7.346880E-01  2.643031E-01
        24   8  2.212341E+00  3.389041E+01  1.664796E+00  1.190335E+01 -7.227473E-01  4.810528E-01
        25   1 -1.416692E+00  4.437445E+01  2.626782E+00  1.439184E+00  4.915203E-01  1.589668E+00
        25   2  5.117600E+00  6.235268E+01  6.429527E+00  8.581771E-01  5.291104E-01  2.160536E+00
        25   3 -4.518272E+00  4.242343E+01 -7.750465E-01  7.104743E+00  8.795202E-01  1.386185E+00
        25   4  1.634367E+00  6.002001E+01  2.137176E+00  6.523737E+00  9.015593E-01  1.890625E+00
        25   5 -1.546521E+00  4.370637E+01  2.297851E+00  1.467346E+00 -8.871217E-01  8.526815E-01
        25   6  4.869742E+00  6.143336E+01  5.958404E+00  8.707473E-01 -8.502701E-01  1.165286E+00
        25   7 -4.709332E+00  4.173361E+01 -1.115222E+00  7.107772E+00 -7.515958E-01  6.506715E-01
        25   8  1.328040E+00  5.908171E+01  1.661252E+00  6.511173E+00 -7.301827E-01  8.973289E-01
        26   1 -5.349394E+00 -7.276919E+01 -5.319920E+00  3.087192E-01  7.492068E-01 -1.696849E+00
        26   2  2.111714E+00 -5.178074E+01 -1.438003E+00  8.622835E-01  7.359914E-01 -1.245586E+00
        26   3 -2.149830E+00 -7.066584E+01 -1.508316E+00  7.005703E+00  1.068034E+00 -1.550001E+00
        26   4  4.991888E+00 -4.999678E+01  1.628360E+00  7.559267E+00  1.061935E+00 -1.134626E+00
        26   5 -5.197552E+00 -7.225785E+01 -5.043348E+00  2.906850E-01 -1.048529E+00 -8.353271E-01
        26   6  2.198418E+00 -5.140651E+01 -1.241454E+00  8.513840E-01 -1.061496E+00 -5.988082E-01
        26   7 -1.968370E+00 -7.014710E+01 -1.236710E+00  7.000596E+00 -9.409425E-01 -6.895417E-01
        26   8  5.110522E+00 -4.961284E+01  1.825336E+00  7.561295E+00 -9.468448E-01 -4.886519E-01
        27   1 -4.551713E+00 -4.161586E+01 -3.745992E+00  5.685194E+00  7.218878E-01 -9.255623E-01
        27   2  2.957584E+00 -2.061536E+01  2.844990E-01  5.959245E+00  7.129585E-01 -5.025060E-01
        27   3 -2.874809E+00 -4.048165E+01 -1.642213E+00  1.236429E+01  1.060889E+00 -8.418248E-01
        27   4  4.312882E+00 -1.980276E+01  1.637867E+00  1.263834E+01  1.054219E+00 -4.572511E-01
        27   5 -4.465047E+00 -4.132431E+01 -3.588474E+00  5.640436E+00 -1.025625E+00 -4.365642E-01
        27   6  2.975133E+00 -2.047009E+01  3.579133E-01  5.916752E+00 -1.034476E+00 -2.298242E-01
        27   7 -2.778575E+00 -4.018901E+01 -1.490617E+00  1.232973E+01 -8.993486E-01 -3.534327E-01
        27   8  4.342327E+00 -1.965407E+01  1.710789E+00  1.260605E+01 -9.059560E-01 -1.848967E-01
        28   1 -3.729858E+00 -1.046618E+01 -1.986475E+00  7.585406E+00  7.115747E-01 -1.974455E-01
        28   2  3.777476E+00  1.052730E+01  2.044503E+00  7.579149E+00  7.119369E-01  2.129392E-01
        28   3 -3.582002E+00 -1.030593E+01 -1.600176E+00  1.426199E+01  1.056004E+00 -1.806861E-01
        28   4  3.602073E+00  1.036428E+01  1.676531E+00  1.425574E+01  1.056287E+00  1.903299E-01
        28   5 -3.696696E+00 -1.040057E+01 -1.946572E+00  7.528734E+00 -1.034691E+00 -8.353405E-02
        28   6  3.740131E+00  1.044345E+01  1.998833E+00  7.522397E+00 -1.034332E+00  1.093979E-01
        28   7 -3.550504E+00 -1.024173E+01 -1.563323E+00  1.421462E+01 -9.040928E-01 -6.689592E-02
        28   8  3.565403E+00  1.028136E+01  1.633270E+00  1.420828E+01 -9.038125E-01  8.695222E-02
        29   1 -2.924782E+00  2.067303E+01 -2.337691E-01  5.955238E+00  7.131041E-01  5.184248E-01
        29   2  4.586664E+00  4.168236E+01  3.795052E+00  5.671011E+00  7.229828E-01  9.426425E-01
        29   3 -4.299695E+00  1.986096E+01 -1.565734E+00  1.263764E+01  1.054738E+00  4.672688E-01
        29   4  2.889681E+00  4.054823E+01  1.711593E+00  1.235342E+01  1.062137E+00  8.528642E-01
        29   5 -2.946095E+00  2.050956E+01 -3.128260E-01  5.912973E+00 -1.036269E+00  2.559978E-01
        29   6  4.496008E+00  4.137210E+01  3.631643E+00  5.626261E+00 -1.026476E+00  4.635840E-01
        29   7 -4.334043E+00  1.969352E+01 -1.645002E+00  1.260547E+01 -9.076788E-01  2.052120E-01
        29   8  2.788321E+00  4.023632E+01  1.553410E+00  1.231875E+01 -9.003478E-01  3.744554E-01
        30   1 -2.094317E+00  5.183901E+01  1.473896E+00  8.640324E-01  7.372337E-01  1.263663E+00
        30   2  5.357629E+00  7.281366E+01  5.339062E+00  3.037689E-01  7.516485E-01  1.716489E+00
        30   3 -4.982877E+00  5.005993E+01 -1.567810E+00  7.558726E+00  1.063393E+00  1.146593E+00
